1		      
0001 111	      
01		      
0001 110	      
0001 101	      
001		      
0000 0011 1	      
0001 100	      
0001 011	      
0000 1	      
0000 0011 0	      
0000 0010 1	      
0001 010	      
0000 01	      
0000 0001 11	      
0000 0001 10	      
0000 0010 0	      
0001 001	      
0000 0000 111	      
0000 0000 110	      
0000 0001 01	      
0001 000	      
0000 0000 0111      
0000 0000 0110      
0000 0000 101	      
0000 0001 00	      
0000 0000 0011 1    
0000 0000 0101      
0000 0000 0100      
0000 0000 100       
